 ID,Company,Product,Issue,State,Submitted via,Date received,Date resolved,Timely response?,Consumer disputed?,state name,Date received,Date resolved,Resolution time(in days),Year,QTR (US FLY)
887716,Experian,Credit reporting,Credit monitoring or identity protection,OR,Web,10/06/2014,10/06/2014,Yes,No,Oregon,06/10/2014,06/10/2014,0,2014,Q2
1451002,"Navient Solutions, Inc.",Student loan,Can't repay my loan,TX,Web,03/07/2015,03/07/2015,Yes,No,Texas,07/03/2015,07/03/2015,0,2015,Q3
1849946,Citibank,Credit card,Credit determination,FL,Web,03/25/2016,03/25/2016,Yes,No,Florida,3/25/2016,3/25/2016,0,2016,Q1
1765234,Bank of America,Mortgage,"Application, originator, mortgage broker",CT,Web,01/30/2016,01/30/2016,Yes,Yes,Connecticut,1/30/2016,1/30/2016,0,2016,Q1
807403,PNC Bank N.A.,Student loan,Can't repay my loan,PA,Web,04/14/2014,04/14/2014,Yes,No,Pennsylvania,4/14/2014,4/14/2014,0,2014,Q2
336727,BNY Mellon,Bank account or service,Problems caused by my funds being low,NC,Web,02/27/2013,02/28/2013,Yes,No,North Carolina,2/27/2013,2/28/2013,1,2013,Q1
1631732,Equifax,Credit reporting,Credit reporting company's investigation,CA,Web,10/29/2015,10/29/2015,Yes,Yes,California,10/29/2015,10/29/2015,0,2015,Q4
1365694,U.S. Bancorp,Mortgage,"Loan servicing, payments, escrow account",NV,Web,07/05/2015,08/05/2015,Yes,No,Nevada,05/07/2015,05/08/2015,1,2015,Q2
842184,TD Bank US Holding Company,Debt collection,False statements or representation,TX,Web,07/05/2014,07/05/2014,Yes,Yes,Texas,05/07/2014,05/07/2014,0,2014,Q2
1887802,Bank of America,Mortgage,"Loan servicing, payments, escrow account",CA,Email,04/20/2016,04/21/2016,Yes,No,California,4/20/2016,4/21/2016,1,2016,Q2
1595239,AES/PHEAA,Student loan,Can't repay my loan,IN,Web,06/10/2015,06/10/2015,Yes,No,Indiana,10/06/2015,10/06/2015,0,2015,Q4
2059334,Ditech Financial LLC,Mortgage,"Loan servicing, payments, escrow account",AZ,Web,12/08/2016,12/08/2016,Yes,No,Arizona,08/12/2016,08/12/2016,0,2016,Q3
1958110,JPMorgan Chase & Co.,Credit card,Billing disputes,FL,Email,07/06/2016,09/06/2016,Yes,No,Florida,06/07/2016,06/09/2016,2,2016,Q2
1899238,"CL Holdings, LLC",Debt collection,Improper contact or sharing of info,WA,Web,04/27/2016,04/27/2016,Yes,No,Washington,4/27/2016,4/27/2016,0,2016,Q2
1528263,JPMorgan Chase & Co.,Student loan,Can't repay my loan,NC,Web,08/20/2015,08/20/2015,Yes,No,North Carolina,8/20/2015,8/20/2015,0,2015,Q3
694264,Nationstar Mortgage,Mortgage,"Loan servicing, payments, escrow account",VA,Web,01/31/2014,01/31/2014,Yes,No,Virginia,1/31/2014,1/31/2014,0,2014,Q1
370880,Citibank,Credit card,Collection practices,CO,Phone,01/04/2013,02/04/2013,Yes,No,Colorado,04/01/2013,04/02/2013,1,2013,Q2
587945,Equifax,Credit reporting,Credit reporting company's investigation,TX,Web,06/11/2013,06/11/2013,Yes,No,Texas,11/06/2013,11/06/2013,0,2013,Q4
1219874,"OneMain Financial Holdings, LLC",Debt collection,Improper contact or sharing of info,NM,Web,02/02/2015,02/02/2015,Yes,No,New Mexico,02/02/2015,02/02/2015,0,2015,Q1
1961748,U.S. Bancorp,Credit card,Billing disputes,ID,Web,10/06/2016,10/06/2016,Yes,No,Idaho,06/10/2016,06/10/2016,0,2016,Q2
222989,HSBC North America Holdings Inc.,Consumer Loan,Problems when you are unable to pay,OH,Web,06/01/2013,07/01/2013,Yes,No,Ohio,01/06/2013,01/07/2013,1,2013,Q1
674946,Allied Interstate LLC,Debt collection,Communication tactics,CO,Phone,01/17/2014,01/27/2014,Yes,No,Colorado,1/17/2014,1/27/2014,10,2014,Q1
1636323,Bank of America,Credit card,Rewards,NC,Web,02/11/2015,02/11/2015,Yes,No,North Carolina,11/02/2015,11/02/2015,0,2015,Q4
1049168,Experian,Credit reporting,Credit reporting company's investigation,CT,Web,09/29/2014,09/29/2014,Yes,No,Connecticut,9/29/2014,9/29/2014,0,2014,Q3
1623653,Ditech Financial LLC,Mortgage,"Loan servicing, payments, escrow account",GA,Web,10/25/2015,10/27/2015,Yes,Yes,Georgia,10/25/2015,10/27/2015,2,2015,Q4
792452,Capital One,Mortgage,"Loan servicing, payments, escrow account",NY,Web,03/04/2014,03/04/2014,Yes,No,New York,04/03/2014,04/03/2014,0,2014,Q2
1589800,"Social Finance, Inc.",Student loan,Getting a loan,DE,Web,02/10/2015,02/10/2015,Yes,Yes,Delaware,10/02/2015,10/02/2015,0,2015,Q4
1310422,Transworld Systems Inc.,Student loan,Dealing with my lender or servicer,TN,Web,01/04/2015,03/04/2015,Yes,No,Tennessee,04/01/2015,04/03/2015,2,2015,Q2
1121022,"Navient Solutions, Inc.",Student loan,Dealing with my lender or servicer,MA,Web,11/18/2014,11/18/2014,Yes,No,Massachusetts,11/18/2014,11/18/2014,0,2014,Q4
1715430,Amex,Bank account or service,"Account opening, closing, or management",CA,Fax,12/23/2015,12/23/2015,Yes,No,California,12/23/2015,12/23/2015,0,2015,Q4
572948,"Check into Cash, Inc.",Consumer Loan,Problems when you are unable to pay,TX,Web,10/25/2013,10/25/2013,Yes,Yes,Texas,10/25/2013,10/25/2013,0,2013,Q4
1466821,Capital One,Credit card,APR or interest rate,TX,Web,07/14/2015,07/14/2015,Yes,No,Texas,7/14/2015,7/14/2015,0,2015,Q3
1591465,"JH Portfolio Debt Equities, LLC",Debt collection,"Loan modification,collection,foreclosure",IL,Web,01/10/2015,01/10/2015,Yes,Yes,Illinois,10/01/2015,10/01/2015,0,2015,Q4
1200520,Equifax,Credit reporting,Unable to get credit report/credit score,CA,Web,11/19/2014,11/19/2014,Yes,No,California,11/19/2014,11/19/2014,0,2014,Q4
265330,Bank of America,Mortgage,"Application, originator, mortgage broker",FL,Web,01/28/2013,01/28/2013,Yes,Yes,Florida,1/28/2013,1/28/2013,0,2013,Q1
1081527,Selene Finance,Mortgage,"Loan servicing, payments, escrow account",OK,Web,10/22/2014,10/22/2014,Yes,No,Oklahoma,10/22/2014,10/22/2014,0,2014,Q4
1874290,JPMorgan Chase & Co.,Mortgage,"Loan servicing, payments, escrow account",MO,Email,11/04/2016,12/04/2016,Yes,Yes,Missouri,04/11/2016,04/12/2016,1,2016,Q2
1178182,Regions Financial Corporation,Mortgage,"Loan servicing, payments, escrow account",MN,Web,02/01/2015,02/01/2015,Yes,No,Minnesota,01/02/2015,01/02/2015,0,2015,Q1
1593714,Navy FCU,Bank account or service,"Making/receiving payments, sending money",NJ,Email,05/10/2015,07/10/2015,Yes,No,New Jersey,10/05/2015,10/07/2015,2,2015,Q4
1031512,"Expert Global Solutions, Inc.",Debt collection,Improper contact or sharing of info,OH,Web,09/16/2014,09/22/2014,Yes,No,Ohio,9/16/2014,9/22/2014,6,2014,Q3
921997,JPMorgan Chase & Co.,Mortgage,"Loan servicing, payments, escrow account",OH,Web,02/07/2014,02/07/2014,Yes,No,Ohio,07/02/2014,07/02/2014,0,2014,Q3
435370,Citibank,Credit card,Closing/Cancelling account,FL,Web,06/18/2013,06/18/2013,Yes,No,Florida,6/18/2013,6/18/2013,0,2013,Q2
982625,Fifth Third Financial Corporation,Bank account or service,"Account opening, closing, or management",IL,Web,08/13/2014,08/15/2014,Yes,No,Illinois,8/13/2014,8/15/2014,2,2014,Q3
1065625,TD Bank US Holding Company,Bank account or service,Deposits and withdrawals,PA,Web,09/10/2014,10/16/2014,Yes,No,Pennsylvania,10/09/2014,10/16/2014,7,2014,Q4
1604563,Wells Fargo & Company,Bank account or service,Deposits and withdrawals,WA,Email,10/13/2015,10/15/2015,Yes,No,Washington,10/13/2015,10/15/2015,2,2015,Q4
1633661,ACS Education Services,Student loan,Can't repay my loan,OH,Web,10/30/2015,10/30/2015,Yes,Yes,Ohio,10/30/2015,10/30/2015,0,2015,Q4
514970,First Tennessee Bank,Bank account or service,Problems caused by my funds being low,TN,Postal mail,05/09/2013,06/09/2013,Yes,No,Tennessee,09/05/2013,09/06/2013,1,2013,Q3
600176,JPMorgan Chase & Co.,Bank account or service,"Account opening, closing, or management",PA,Postal mail,11/15/2013,11/18/2013,Yes,No,Pennsylvania,11/15/2013,11/18/2013,3,2013,Q4
1490126,Ally Financial Inc.,Consumer Loan,Problems when you are unable to pay,PA,Web,07/28/2015,07/28/2015,Yes,No,Pennsylvania,7/28/2015,7/28/2015,0,2015,Q3
371175,AES/PHEAA,Student loan,Repaying your loan,PA,Web,01/04/2013,02/04/2013,Yes,No,Pennsylvania,04/01/2013,04/02/2013,1,2013,Q2
268387,Discover,Credit card,Billing disputes,OH,Web,01/24/2013,01/25/2013,Yes,No,Ohio,1/24/2013,1/25/2013,1,2013,Q1
875041,Bank of America,Debt collection,Improper contact or sharing of info,MA,Web,05/30/2014,05/30/2014,Yes,Yes,Massachusetts,5/30/2014,5/30/2014,0,2014,Q2
1376295,Citibank,Prepaid card,Unauthorized transactions/trans. issues,OK,Web,05/14/2015,05/15/2015,Yes,No,Oklahoma,5/14/2015,5/15/2015,1,2015,Q2
1808365,Citibank,Credit card,Billing statement,DE,Web,02/29/2016,02/29/2016,Yes,No,Delaware,2/29/2016,2/29/2016,0,2016,Q1
1863347,Ocwen,Mortgage,"Loan servicing, payments, escrow account",CA,Phone,04/04/2016,06/04/2016,Yes,Yes,California,04/04/2016,04/06/2016,2,2016,Q2
1534651,Citibank,Credit card,Payoff process,AZ,Web,08/25/2015,08/25/2015,Yes,No,Arizona,8/25/2015,8/25/2015,0,2015,Q3
2089664,"ONLINE Information Services, Inc.",Debt collection,"Loan modification,collection,foreclosure",MD,Web,08/31/2016,08/31/2016,Yes,No,Maryland,8/31/2016,8/31/2016,0,2016,Q3
732373,Round Point Mortgage,Mortgage,"Loan servicing, payments, escrow account",GA,Web,02/26/2014,02/28/2014,Yes,No,Georgia,2/26/2014,2/28/2014,2,2014,Q1
361260,Ocwen,Mortgage,"Loan servicing, payments, escrow account",NC,Phone,03/20/2013,03/21/2013,Yes,Yes,North Carolina,3/20/2013,3/21/2013,1,2013,Q1
1391553,Education Management Corporation,Student loan,Getting a loan,MN,Web,05/26/2015,05/26/2015,Yes,Yes,Minnesota,5/26/2015,5/26/2015,0,2015,Q2
1717985,Credit Bureau of Napa,Debt collection,False statements or representation,VA,Web,12/28/2015,12/30/2015,Yes,No,Virginia,12/28/2015,12/30/2015,2,2015,Q4
573460,Encore Capital Group,Debt collection,Communication tactics,MI,Web,10/28/2013,10/28/2013,Yes,No,Michigan,10/28/2013,10/28/2013,0,2013,Q4
1893503,Van Ru Credit Corporation,Debt collection,False statements or representation,CA,Web,04/23/2016,04/23/2016,Yes,No,California,4/23/2016,4/23/2016,0,2016,Q2
247190,Ocwen,Mortgage,"Loan servicing, payments, escrow account",GA,Web,01/17/2013,01/22/2013,Yes,Yes,Georgia,1/17/2013,1/22/2013,5,2013,Q1
1890512,Ditech Financial LLC,Consumer Loan,Managing the loan or lease,SC,Web,04/21/2016,04/25/2016,Yes,No,South Carolina,4/21/2016,4/25/2016,4,2016,Q2
1253564,"Regional Acquisition Group, Inc.",Debt collection,Improper contact or sharing of info,OH,Web,02/24/2015,02/24/2015,Yes,No,Ohio,2/24/2015,2/24/2015,0,2015,Q1
1486351,"Navient Solutions, Inc.",Student loan,Dealing with my lender or servicer,NE,Web,07/24/2015,07/24/2015,Yes,No,Nebraska,7/24/2015,7/24/2015,0,2015,Q3
1382081,AES/PHEAA,Student loan,Dealing with my lender or servicer,OH,Web,05/19/2015,05/19/2015,Yes,No,Ohio,5/19/2015,5/19/2015,0,2015,Q2
570126,Nationstar Mortgage,Mortgage,"Loan servicing, payments, escrow account",VA,Email,10/24/2013,10/25/2013,Yes,No,Virginia,10/24/2013,10/25/2013,1,2013,Q4
